video3.mp4,PixelDiff:0.9992207228535354;H_Avg:206.6595643939394;S_Avg:39.943063446969695;V_Avg:43.12787050189394;H_Max:250;S_Max:43;V_Max:45|7538|7802
video3.mp4,PixelDiff:0.987600615530303;H_Avg:194.85619870580808;S_Avg:38.66849155618687;V_Avg:52.80849510732323;H_Max:212;S_Max:72;V_Max:100|7802|7884
video3.mp4,PixelDiff:0.9931837910353535;H_Avg:176.3662109375;S_Avg:27.497474747474747;V_Avg:43.147263652146464;H_Max:0;S_Max:16;V_Max:14|7884|10030
video3.mp4,PixelDiff:0.9853712910353535;H_Avg:241.49292732007575;S_Avg:31.770280934343436;V_Avg:48.708382654671716;H_Max:232;S_Max:28;V_Max:74|10030|10200
video3.mp4,PixelDiff:0.9886955492424242;H_Avg:190.3527166193182;S_Avg:21.260041824494948;V_Avg:56.27264835858586;H_Max:310;S_Max:3;V_Max:100|10200|12971
video3.mp4,PixelDiff:0.9955808080808081;H_Avg:152.23541074810606;S_Avg:31.205009075126263;V_Avg:61.176747948232325;H_Max:6;S_Max:7;V_Max:100|12971|13257
video3.mp4,PixelDiff:0.9848090277777778;H_Avg:107.54144965277777;S_Avg:41.868381076388886;V_Avg:55.01632536300505;H_Max:40;S_Max:12;V_Max:100|13257|13402
video3.mp4,PixelDiff:0.9894057765151515;H_Avg:180.11683238636363;S_Avg:26.741901436237374;V_Avg:39.0822877209596;H_Max:0;S_Max:0;V_Max:0|13402|15986
video3.mp4,PixelDiff:0.9758128156565656;H_Avg:188.83299794823233;S_Avg:29.920947758838384;V_Avg:41.48754142992424;H_Max:240;S_Max:9;V_Max:100|15986|16155
video3.mp4,PixelDiff:0.9476306029040404;H_Avg:247.1416508838384;S_Avg:20.862600615530305;V_Avg:45.078963462752526;H_Max:255;S_Max:10;V_Max:21|16155|16249
video3.mp4,PixelDiff:0.9559757733585859;H_Avg:196.51355350378788;S_Avg:31.74654750631313;V_Avg:64.4601286300505;H_Max:336;S_Max:12;V_Max:88|16249|16474
video3.mp4,PixelDiff:0.9949396306818182;H_Avg:144.2515684185606;S_Avg:29.9493469854798;V_Avg:40.31509430239899;H_Max:0;S_Max:9;V_Max:18|16474|16623
video3.mp4,PixelDiff:0.9931048768939394;H_Avg:201.36011482007575;S_Avg:26.6685211489899;V_Avg:42.12501972853536;H_Max:336;S_Max:9;V_Max:43|16623|16743
video3.mp4,PixelDiff:0.9979087752525253;H_Avg:222.28738557449495;S_Avg:32.22964015151515;V_Avg:36.32801649305556;H_Max:336;S_Max:11;V_Max:21|16743|16984
video3.mp4,PixelDiff:0.9728535353535354;H_Avg:156.88482481060606;S_Avg:22.678217724116163;V_Avg:38.6083984375;H_Max:250;S_Max:14;V_Max:41|16984|17234
video3.mp4,PixelDiff:0.9991911300505051;H_Avg:173.4838620580808;S_Avg:18.227716619318183;V_Avg:61.014865451388886;H_Max:224;S_Max:5;V_Max:83|17234|17401
video3.mp4,PixelDiff:0.9887350063131313;H_Avg:117.72960069444444;S_Avg:30.579427083333332;V_Avg:21.143485637626263;H_Max:225;S_Max:0;V_Max:5|17401|18895
video3.mp4,PixelDiff:0.987857086489899;H_Avg:167.15520438762627;S_Avg:33.152994791666664;V_Avg:41.12898516414141;H_Max:237;S_Max:10;V_Max:36|18895|19656
video3.mp4,PixelDiff:0.9960740214646465;H_Avg:196.0786379419192;S_Avg:26.310290404040405;V_Avg:45.16489109848485;H_Max:252;S_Max:18;V_Max:52|19656|19739
video3.mp4,PixelDiff:0.9938348327020202;H_Avg:172.56557765151516;S_Avg:31.450264362373737;V_Avg:39.96348248106061;H_Max:0;S_Max:19;V_Max:41|19739|19943
video3.mp4,PixelDiff:0.9954032512626263;H_Avg:182.30836687184345;S_Avg:28.43334714330808;V_Avg:43.89744120896464;H_Max:250;S_Max:19;V_Max:33|19943|20037
video3.mp4,PixelDiff:0.9885673137626263;H_Avg:176.23138612689394;S_Avg:31.63540680239899;V_Avg:35.43377130681818;H_Max:330;S_Max:16;V_Max:27|20037|20282
video4.mp4,PixelDiff:0.7702907986111112;H_Avg:0.5119258996212122;S_Avg:0.2574771148989899;V_Avg:0.3083866003787879;H_Max:0;S_Max:0;V_Max:0|0|469
video4.mp4,PixelDiff:0.9993785511363636;H_Avg:175.34346393623738;S_Avg:62.94233349116162;V_Avg:37.203628077651516;H_Max:355;S_Max:100;V_Max:27|469|2314
video4.mp4,PixelDiff:0.9941208964646465;H_Avg:100.93059501262626;S_Avg:59.13721196338384;V_Avg:41.44974155618687;H_Max:115;S_Max:55;V_Max:38|2314|2442
video4.mp4,PixelDiff:0.9981455176767676;H_Avg:89.2389618844697;S_Avg:36.60359453914141;V_Avg:48.95346038510101;H_Max:18;S_Max:29;V_Max:38|2442|2593
video4.mp4,PixelDiff:0.9990826231060606;H_Avg:132.34214212436868;S_Avg:26.96032591540404;V_Avg:62.49360795454545;H_Max:25;S_Max:6;V_Max:60|2593|2875
video4.mp4,PixelDiff:0.9951369160353535;H_Avg:90.6268643465909;S_Avg:51.37392479482323;V_Avg:45.611929845328284;H_Max:4;S_Max:32;V_Max:63|2875|3271
